latitude,longitude,gi_star,p_value,hotspot_category,weight_sum
8.739778012134186,76.71650876940822,3.2980755265366426,0.002,Hot Spot (99% Confidence),0.03542325
8.786791833942893,76.71672454810101,,0.001,Not Significant,0.01363712
8.732536874414762,76.7182931461882,0.008780498998927357,0.375,Not Significant,0.01363712
8.73615332455143,76.71830970511337,1.640586841393971,0.004,Hot Spot (99% Confidence),0.01363712
8.737961549349976,76.71831798724679,3.336957532869295,0.001,Hot Spot (99% Confidence),0.01180775
8.752427341258793,76.71838430841927,,0.001,Not Significant,0.02727424
8.75785201025241,76.71840920824326,-0.5501684697473691,0.137,Not Significant,0.017628472
8.781358890460773,76.71851729272579,,0.001,Not Significant,0.007816398
8.734336857895277,76.7201188984836,-0.09445530871687445,0.48,Not Significant,0.01363712
8.7596519669637,76.72023510810921,0.19921210292212532,0.242,Not Significant,0.007816398
8.73252038582248,76.72192807436026,-0.18958054797722868,0.425,Not Significant,0.019624148
8.736136829027856,76.72194466827256,-0.11521646444474716,0.485,Not Significant,0.009812074
8.74156149248658,76.72196957252349,0.04662515147460102,0.293,Not Significant,0.003991352
8.766876567190511,76.72208600472882,-0.3144330824965552,0.364,Not Significant,0.009812074
8.712621697086103,76.72365430073805,,0.001,Not Significant,0.003991352
8.718046362347657,76.72367916158949,-0.5502810796114833,0.137,Not Significant,0.01363712
8.71985458374245,76.72368745211148,-0.10574742575685836,0.499,Not Significant,0.007816398
8.727087467525363,76.72372063205813,-0.8423624297070227,0.001,Cold Spot (99% Confidence),0.019624148
8.736128568209704,76.72376214717659,-0.20419522217649122,0.449,Not Significant,0.01180775
8.739745007224284,76.7237787657271,-0.5916837953866351,0.07,Not Significant,0.015632796
8.750594319947147,76.72382866425086,-0.5250668031588176,0.149,Not Significant,0.007816398
8.752402538103786,76.72383698692413,-0.4996535091022356,0.172,Not Significant,0.007816398
8.768676493398308,76.72391197138477,-0.20310169324294464,0.489,Not Significant,0.009812074
8.770484709750901,76.72392031192574,-0.39780974693599375,0.298,Not Significant,0.01363712
8.78675864879274,76.72399545721471,,0.001,Not Significant,0.003991352
8.74516138618655,76.72562122783421,-0.8425178260397868,0.001,Cold Spot (99% Confidence),0.01363712
8.754202469182928,76.72566287608134,-0.5102820555174858,0.142,Not Significant,0.009812074
